mode,threads,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
rain,8,800,600,200,220.000,287,0.002699,0.018,8.323,8.341,370.51
rain,8,800,600,200,220.000,288,0.008351,0.010,8.345,8.355,119.75
rain,8,800,600,200,220.000,289,0.008364,0.010,13.491,13.500,119.56
rain,8,800,600,200,220.000,290,0.013510,0.009,3.128,3.137,74.02
rain,8,800,600,200,220.000,291,0.003151,0.012,8.370,8.382,317.36
rain,8,800,600,200,220.000,292,0.008391,0.008,8.339,8.348,119.18
rain,8,800,600,200,220.000,293,0.008357,0.010,14.358,14.368,119.66
rain,8,800,600,200,220.000,294,0.014378,0.009,2.305,2.315,69.55
rain,8,800,600,200,220.000,295,0.002330,0.011,8.319,8.329,429.18
rain,8,800,600,200,220.000,296,0.008338,0.009,8.319,8.328,119.93
rain,8,800,600,200,220.000,297,0.008337,0.009,14.748,14.757,119.95
rain,8,800,600,200,220.000,298,0.014767,0.009,1.922,1.931,67.72
rain,8,800,600,200,220.000,299,0.001940,0.009,8.228,8.238,515.46
